onset	duration	sample	value	gid	imageid	buttonpressduration	reactiontime	imagecategory	cameradistance	imagelocation	imageclutter	luminance	tgtorientation	tgtocclusion	tgtcontrast	tgtsize	tgtdistfromcenter	numberoftargets	numberofclasses
3538.111328125	n/a	3623027	21131	4019	10080	0.0	0.62109375	0	0	0	0	0.0	0	0	0	0.0	0.0	0	0
3538.224609375	n/a	3623143	13210	2500	21707	0.0	0.0	6	2	1	2	133.192997	0	0	0	0.0	0.0	0	0
3538.361328125	n/a	3623283	21132	0	0	0.25	0.0	0	0	0	0	0.0	0	0	0	0.0	0.0	0	0
3538.408203125	n/a	3623331	13210	1810	20946	0.0	0.0	6	1	1	3	62.871475	0	0	0	0.0	0.0	0	0
3538.591796875	n/a	3623519	13210	2496	21703	0.0	0.0	6	2	1	3	82.716405	0	0	0	0.0	0.0	0	0
3538.775390625	n/a	3623707	13210	2348	21541	0.0	0.0	6	3	1	2	136.683467	0	0	0	0.0	0.0	0	0
3538.958984375	n/a	3623895	13210	1407	20496	0.0	0.0	6	4	2	2	169.430099	0	0	0	0.0	0.0	0	0
3539.1435546875	n/a	3624084	13210	2292	21482	0.0	0.0	6	1	1	2	145.502128	0	0	0	0.0	0.0	0	0
3539.3271484375	n/a	3624272	13210	1207	20272	0.0	0.0	6	2	1	1	111.223822	0	0	0	0.0	0.0	0	0
3539.5107421875	n/a	3624460	13210	1232	20301	0.0	0.0	6	2	2	2	109.869184	0	0	0	0.0	0.0	0	0
3539.6943359375	n/a	3624648	13210	1939	21098	0.0	0.0	6	2	1	2	92.992699	0	0	0	0.0	0.0	0	0
3539.8779296875	n/a	3624836	13210	1077	20113	0.0	0.0	6	2	1	3	70.458925	0	0	0	0.0	0.0	0	0
3540.0615234375	n/a	3625024	13210	1091	20129	0.0	0.0	6	3	1	1	155.383769	0	0	0	0.0	0.0	0	0
3540.2451171875	n/a	3625212	13210	2009	21181	0.0	0.0	6	2	1	1	122.066033	0	0	0	0.0	0.0	0	0
3540.4287109375	n/a	3625400	13210	1909	21060	0.0	0.0	6	2	2	2	145.335783	0	0	0	0.0	0.0	0	0
3540.6123046875	n/a	3625588	13210	2299	21489	0.0	0.0	6	1	1	2	138.217713	0	0	0	0.0	0.0	0	0
3540.7958984375	n/a	3625776	13210	1889	21037	0.0	0.0	6	3	1	2	106.179954	0	0	0	0.0	0.0	0	0
3540.9794921875	n/a	3625964	13210	1208	20273	0.0	0.0	6	2	1	2	99.892896	0	0	0	0.0	0.0	0	0
3541.1640625	n/a	3626153	13210	2171	21352	0.0	0.0	6	3	1	2	101.448502	0	0	0	0.0	0.0	0	0
3541.34765625	n/a	3626341	13210	1506	20616	0.0	0.0	6	1	1	2	111.19455	0	0	0	0.0	0.0	0	0
3541.53125	n/a	3626529	13210	1149	20201	0.0	0.0	6	2	2	2	160.173976	0	0	0	0.0	0.0	0	0
3541.71484375	n/a	3626717	13210	2395	21592	0.0	0.0	6	3	1	3	121.279457	0	0	0	0.0	0.0	0	0
3541.8984375	n/a	3626905	13210	1877	21020	0.0	0.0	6	2	1	2	78.834379	0	0	0	0.0	0.0	0	0
3542.08203125	n/a	3627093	13210	2040	21217	0.0	0.0	6	1	1	2	135.803835	0	0	0	0.0	0.0	0	0
3542.265625	n/a	3627281	13210	1169	20227	0.0	0.0	6	1	1	2	44.772114	0	0	0	0.0	0.0	0	0
3542.44921875	n/a	3627469	13210	1669	20793	0.0	0.0	6	2	1	2	112.805708	0	0	0	0.0	0.0	0	0
3542.6328125	n/a	3627657	13210	1762	20891	0.0	0.0	6	4	2	3	104.14567	0	0	0	0.0	0.0	0	0
3542.81640625	n/a	3627845	13210	1937	21096	0.0	0.0	6	1	1	3	192.608803	0	0	0	0.0	0.0	0	0
3543.0	n/a	3628033	13120	4210	11041	0.0	0.0	1	1	1	2	132.025815	45	2	2	0.449431	190.436341	1	1
3543.1845703125	n/a	3628222	13210	2400	21598	0.0	0.0	6	3	1	2	122.366516	0	0	0	0.0	0.0	0	0
3543.3681640625	n/a	3628410	13210	1206	20271	0.0	0.0	6	3	1	2	103.013528	0	0	0	0.0	0.0	0	0
3543.5517578125	n/a	3628598	13120	4185	10973	0.0	0.0	1	3	1	2	142.469193	45	2	2	0.277465	203.600098	1	1
3543.7353515625	n/a	3628786	13210	2240	21421	0.0	0.0	6	1	1	2	102.453912	0	0	0	0.0	0.0	0	0
3543.9189453125	n/a	3628974	13210	2314	21504	0.0	0.0	6	1	1	2	128.282755	0	0	0	0.0	0.0	0	0
3544.1025390625	n/a	3629162	13210	2121	21302	0.0	0.0	6	1	1	3	131.942368	0	0	0	0.0	0.0	0	0
3544.2861328125	n/a	3629350	13210	1562	20676	0.0	0.0	6	1	1	2	147.559335	0	0	0	0.0	0.0	0	0
3544.4697265625	n/a	3629538	13210	1520	20632	0.0	0.0	6	1	1	2	59.38288	0	0	0	0.0	0.0	0	0
3544.6533203125	n/a	3629726	13120	4175	10934	0.0	0.0	1	3	1	2	98.414624	135	2	2	0.100981	192.418814	1	1
3545.8896484375	n/a	3630992	13210	1618	20735	0.0	0.0	6	1	1	2	150.2151	0	0	0	0.0	0.0	0	0
3546.0732421875	n/a	3631180	13210	1189	20251	0.0	0.0	6	3	1	2	90.217937	0	0	0	0.0	0.0	0	0
3546.2568359375	n/a	3631368	13210	1388	20477	0.0	0.0	6	4	2	3	210.167028	0	0	0	0.0	0.0	0	0
3546.4404296875	n/a	3631556	13210	1853	20992	0.0	0.0	6	1	1	3	65.148448	0	0	0	0.0	0.0	0	0
3546.6240234375	n/a	3631744	13210	1989	21154	0.0	0.0	6	3	1	2	175.778738	0	0	0	0.0	0.0	0	0
3546.8076171875	n/a	3631932	13210	1967	21128	0.0	0.0	6	3	1	2	92.07611	0	0	0	0.0	0.0	0	0
3546.9912109375	n/a	3632120	13210	2504	21711	0.0	0.0	6	1	1	2	137.969589	0	0	0	0.0	0.0	0	0
3547.1748046875	n/a	3632308	13210	2550	21758	0.0	0.0	6	3	1	2	100.888346	0	0	0	0.0	0.0	0	0
3547.3583984375	n/a	3632496	13210	1159	20214	0.0	0.0	6	2	1	2	111.373453	0	0	0	0.0	0.0	0	0
3547.5419921875	n/a	3632684	13210	2551	21759	0.0	0.0	6	3	1	2	108.07822	0	0	0	0.0	0.0	0	0
