onset	duration	code	trial_number
335.8099	0.5	40	55
336.3099	0.25	30	55
336.5599	0.325	11	55
336.8732	0.0	1	55
336.8849	0.5	40	56
337.3849	0.25	30	56
337.6349	0.25	212	56
337.8849	0.1833	222	56
338.0572	0.0	2	56
338.0683	0.5	40	57
338.5683	0.25	30	57
338.8183	0.2083	211	57
339.0266	1.0417	221	57
340.0683	0.5	40	58
340.5683	0.25	30	58
340.8183	0.25	212	58
341.0683	1.0	222	58
342.0683	0.5	40	59
342.5683	0.25	30	59
342.8183	0.3917	11	59
343.2041	0.0	1	59
343.21	0.5	40	60
343.71	0.25	30	60
343.96	0.35	11	60
344.2991	0.0	1	60
344.31	0.5	40	61
344.81	0.25	30	61
345.06	0.4333	12	61
345.4841	0.0	2	61
345.4934	0.5	40	62
345.9934	0.25	30	62
346.2434	0.4917	12	62
346.7231	0.0	2	62
346.735	0.5	40	63
347.2351	0.25	30	63
347.4851	0.4333	12	63
347.9071	0.0	2	63
347.9184	0.5	40	64
348.4184	0.25	30	64
348.6684	0.4667	11	64
349.1281	0.0	1	64
349.1351	0.0167	70	0
349.1351	0.0	experiment_block_end	0
366.5138	0.0	3	0
366.5186	0.0	rest_block_start	0
366.5186	2.0084	80	0
368.527	2.0084	80	0
370.5353	2.0084	80	0
372.5437	2.0084	80	0
374.5521	2.0084	80	0
376.5604	2.0084	80	0
378.5688	2.0084	80	0
380.5771	2.0084	80	0
384.0938	0.0	rest_block_end	0
384.0938	0.0	experiment_block_start	0
384.0938	0.5	40	1
384.5938	0.25	30	1
384.8438	0.4667	11	1
385.3024	0.0	1	1
385.3105	0.5	40	2
385.8105	0.25	30	2
386.0605	0.3167	11	2
386.3684	0.0	1	2
386.3772	0.5	40	3
386.8772	0.25	30	3
387.1272	0.3667	12	3
387.4864	0.0	2	3
387.4939	0.5	40	4
387.9939	0.25	30	4
388.2439	0.325	12	4
388.5593	0.0	2	4
388.5689	0.5	40	5
389.0689	0.25	30	5
389.3189	0.5083	11	5
389.8224	0.0	1	5
389.8272	0.5	40	6
390.3272	0.25	30	6
390.5773	0.3	211	6
390.8773	0.95	221	6
391.8273	0.5	40	7
392.3273	0.25	30	7
392.5773	0.3	12	7
392.8663	0.0	2	7
392.8773	0.5	40	8
393.3773	0.25	30	8
393.6273	0.2583	212	8
393.8772	0.0	2	8
393.8856	0.5	40	9
394.3856	0.25	30	9
394.6356	0.4083	11	9
395.0322	0.0	1	9
395.044	0.5	40	10
395.544	0.25	30	10
395.794	0.3167	12	10
396.0992	0.0	2	10
396.1107	0.5	40	11
396.6107	0.25	30	11
396.8607	0.3083	12	11
397.1612	0.0	2	11
397.169	0.5	40	12
397.669	0.25	30	12
397.919	0.4417	11	12
398.3522	0.0	1	12
398.3607	0.5	40	13
398.8607	0.25	30	13
399.1107	0.4583	11	13
399.5571	0.0	1	13
399.569	0.5	40	14
400.069	0.25	30	14
400.319	0.3	211	14
400.619	0.95	221	14
401.5691	0.5	40	15
402.0691	0.25	30	15
402.3191	0.3667	12	15
402.6801	0.0	2	15
402.6857	0.5	40	16
403.1857	0.25	30	16
403.4357	0.35	212	16
403.7857	0.0083	222	16
403.7861	0.0	2	16
403.7941	0.5	40	17
404.2941	0.25	30	17
404.5441	0.3917	11	17
404.9241	0.0	1	17
404.9358	0.5	40	18
405.4358	0.25	30	18
405.6858	0.4583	12	18
406.135	0.0	2	18
406.1441	0.5	40	19
406.6441	0.25	30	19
406.8941	0.325	12	19
407.213	0.0	2	19
407.2191	0.5	40	20
407.7191	0.25	30	20
407.9691	0.4167	11	20
408.375	0.0	1	20
408.3858	0.5	40	21
408.8858	0.25	30	21
409.1358	0.3333	11	21
409.46	0.0	1	21
409.4692	0.5	40	22
409.9692	0.25	30	22
410.2192	0.3333	12	22
410.5419	0.0	2	22
410.5525	0.5	40	23
411.0525	0.25	30	23
411.3025	0.3	212	23
411.6025	0.95	222	23
412.5525	0.5	40	24
413.0525	0.25	30	24
413.3025	0.3417	211	24
413.6359	0.0	1	24
413.6442	0.5	40	25
414.1442	0.25	30	25
414.3942	0.2667	11	25
414.6479	0.0	1	25
414.6609	0.5	40	26
415.1609	0.25	30	26
415.4109	0.475	11	26
415.8779	0.0	1	26
415.8859	0.5	40	27
416.3859	0.25	30	27
416.6359	0.4583	11	27
417.0898	0.0	1	27
417.0943	0.5	40	28
417.5943	0.25	30	28
417.8443	0.6833	12	28
418.5168	0.0	2	28
418.5276	0.5	40	29
419.0276	0.25	30	29
419.2776	0.325	12	29
419.5918	0.0	2	29
419.6026	0.5	40	30
420.1026	0.25	30	30
420.3526	0.4667	12	30
420.8108	0.0	2	30
420.8193	0.5	40	31
421.3193	0.25	30	31
421.5693	0.3	212	31
421.8693	0.15	222	31
422.0127	0.0	2	31
422.0193	0.5	40	32
422.5193	0.25	30	32
422.7693	0.25	211	32
423.0193	0.0667	221	32
423.0797	0.0	1	32
423.086	0.5	40	33
423.586	0.25	30	33
423.836	0.2	211	33
424.036	1.05	221	33
425.086	0.5	40	34
425.586	0.25	30	34
425.836	0.3667	11	34
426.1927	0.0	1	34
426.2027	0.5	40	35
426.7027	0.25	30	35
426.9527	0.4167	12	35
427.3647	0.0	2	35
427.3694	0.5	40	36
427.8694	0.25	30	36
428.1194	0.4667	12	36
428.5776	0.0	2	36
428.5861	0.5	40	37
429.0861	0.25	30	37
429.3361	0.4583	11	37
429.7866	0.0	1	37
429.7944	0.5	40	38
430.2944	0.25	30	38
430.5444	0.3667	11	38
430.9056	0.0	1	38
430.9111	0.5	40	39
431.4111	0.25	30	39
431.6611	0.4167	12	39
432.0716	0.0	2	39
432.0778	0.5	40	40
432.5778	0.25	30	40
432.8278	0.25	212	40
433.0778	1.0	222	40
434.0778	0.5	40	41
434.5778	0.25	30	41
434.8278	0.35	12	41
435.1695	0.0	2	41
435.1778	0.5	40	42
435.6778	0.25	30	42
435.9278	0.3	211	42
436.2278	0.0584	221	42
436.2805	0.0	1	42
436.2862	0.5	40	43
436.7862	0.25	30	43
437.0362	0.4833	12	43
437.5125	0.0	2	43
437.5195	0.5	40	44
438.0195	0.25	30	44
438.2695	0.25	212	44
438.5195	0.0917	222	44
438.6024	0.0	2	44
438.6112	0.5	40	45
439.1112	0.25	30	45
439.3612	0.5667	11	45
439.9164	0.0	1	45
439.9279	0.5	40	46
440.4279	0.25	30	46
440.6779	0.4917	12	46
441.1634	0.0	2	46
441.1695	0.5	40	47
441.6696	0.25	30	47
441.9196	0.4583	11	47
442.3674	0.0	1	47
442.3779	0.5	40	48
442.8779	0.25	30	48
443.1279	0.375	11	48
443.4954	0.0	1	48
443.5029	0.5	40	49
444.0029	0.25	30	49
444.2529	0.2	212	49
444.4529	1.05	222	49
445.5029	0.5	40	50
446.0029	0.25	30	50
446.2529	0.425	12	50
446.6733	0.0	2	50
446.678	0.5	40	51
447.178	0.25	30	51
447.428	0.35	12	51
447.7693	0.0	2	51
447.778	0.5	40	52
