onset	duration	sample	value
426.3369140625	n/a	436570	4312
434.3935546875	n/a	444820	1111
434.8681640625	n/a	445306	1311
434.970703125	n/a	445411	1312
435.337890625	n/a	445787	4311
435.3486328125	n/a	445798	4220
435.404296875	n/a	445855	1112
437.7734375	n/a	448281	4210
439.62890625	n/a	450181	4312
441.48828125	n/a	452085	1111
442.19921875	n/a	452813	4220
442.310546875	n/a	452927	4311
442.3671875	n/a	452985	1112
444.484375	n/a	455153	4210
446.0390625	n/a	456745	4230
446.3603515625	n/a	457074	4210
446.490234375	n/a	457207	4312
449.5693359375	n/a	460360	3200
449.984375	n/a	460785	2621
450.5732421875	n/a	461388	1121
451.373046875	n/a	462207	4311
451.4189453125	n/a	462254	4230
451.4296875	n/a	462265	1122
454.65234375	n/a	465565	4210
457.0166015625	n/a	467986	4312
457.9638671875	n/a	468956	1121
458.234375	n/a	469233	2622
458.86328125	n/a	469877	4230
458.9072265625	n/a	469922	4311
458.974609375	n/a	469991	1122
460.6474609375	n/a	471704	1311
460.771484375	n/a	471831	1312
461.50390625	n/a	472581	4210
461.955078125	n/a	473043	4312
464.53515625	n/a	475685	1121
465.5126953125	n/a	476686	4230
465.5126953125	n/a	476686	4311
465.5830078125	n/a	476758	1122
468.048828125	n/a	479283	4210
468.7802734375	n/a	480032	4312
471.1025390625	n/a	482410	1121
471.8916015625	n/a	483218	4230
472.24609375	n/a	483581	4311
472.32421875	n/a	483661	1122
476.4404296875	n/a	487876	4210
476.7109375	n/a	488153	4312
479.978515625	n/a	491499	1121
480.72265625	n/a	492261	4230
480.74609375	n/a	492285	1311
480.876953125	n/a	492419	1312
480.9443359375	n/a	492488	4311
481.01171875	n/a	492557	1122
483.376953125	n/a	494979	4210
485.3935546875	n/a	497044	4312
486.95703125	n/a	498645	1111
487.447265625	n/a	499147	1311
487.5498046875	n/a	499252	1312
487.7353515625	n/a	499442	4220
487.7900390625	n/a	499498	4311
487.84765625	n/a	499557	1112
489.568359375	n/a	501319	3200
489.984375	n/a	501745	2621
490.6806640625	n/a	502458	4210
491.4921875	n/a	503289	4312
493.646484375	n/a	505495	1311
493.69140625	n/a	505541	1111
493.7734375	n/a	505625	1312
494.435546875	n/a	506303	4220
494.74609375	n/a	506621	4311
494.82421875	n/a	506701	1112
497.0703125	n/a	509001	4210
497.2978515625	n/a	509234	1311
497.40625	n/a	509345	1312
497.734375	n/a	509681	2622
497.8720703125	n/a	509822	4230
501.32421875	n/a	513357	4210
501.712890625	n/a	513755	4230
502.7919921875	n/a	514860	1111
503.4375	n/a	515521	4210
503.7705078125	n/a	515862	4311
503.8369140625	n/a	515930	1112
504.0498046875	n/a	516148	4220
505.5029296875	n/a	517636	4210
506.505859375	n/a	518663	4230
510.1044921875	n/a	522348	1111
510.7724609375	n/a	523032	4210
510.994140625	n/a	523259	4311
511.060546875	n/a	523327	1112
511.453125	n/a	523729	4220
512.4638671875	n/a	524764	4210
513.587890625	n/a	525915	4230
517.7958984375	n/a	530224	1311
517.921875	n/a	530353	1312
518.31640625	n/a	530757	1311
518.453125	n/a	530897	1312
519.4775390625	n/a	531946	1111
519.876953125	n/a	532355	4210
520.244140625	n/a	532731	4311
520.2880859375	n/a	532776	1112
520.6806640625	n/a	533178	4220
521.595703125	n/a	534115	1311
521.7431640625	n/a	534266	1312
522.236328125	n/a	534771	4210
523.3798828125	n/a	535942	4312
524.2724609375	n/a	536856	4230
527.0263671875	n/a	539676	1121
527.9814453125	n/a	540654	4311
528.0478515625	n/a	540722	1122
528.630859375	n/a	541319	3200
528.984375	n/a	541681	2621
530.91796875	n/a	543661	4210
531.0458984375	n/a	543792	1311
531.173828125	n/a	543923	1312
531.2080078125	n/a	543958	4312
533.87890625	n/a	546693	1111
534.6123046875	n/a	547444	4220
