onset	duration	sample	value	gid
1318.189453125	n/a	1349827	1251	0
1318.189453125	n/a	1349827	1331	4032
1323.1181640625	n/a	1354874	2120	0
1347.2109375	n/a	1379545	1332	4032
1347.2109375	n/a	1379545	1341	4038
1351.8857421875	n/a	1384332	2120	0
1355.103515625	n/a	1387627	1342	4038
1355.103515625	n/a	1387627	1311	1243
1364.7646484375	n/a	1397520	2120	0
1366.9189453125	n/a	1399726	1312	1243
1366.9189453125	n/a	1399726	1311	1166
1371.8447265625	n/a	1404770	2110	0
1372.4130859375	n/a	1405352	1312	1166
1372.4130859375	n/a	1405352	1321	4015
1376.412109375	n/a	1409447	2120	0
1378.845703125	n/a	1411939	1322	4015
1378.845703125	n/a	1411939	1311	1041
1384.7001953125	n/a	1417934	2120	0
1387.541015625	n/a	1420843	1312	1041
1387.541015625	n/a	1420843	1311	1197
1391.31640625	n/a	1424709	2110	0
1391.88671875	n/a	1425293	1312	1197
1391.88671875	n/a	1425293	1341	4043
1395.33203125	n/a	1428821	2120	0
1398.1259765625	n/a	1431682	1342	4043
1398.1259765625	n/a	1431682	1311	1182
1402.173828125	n/a	1435827	2110	0
1402.744140625	n/a	1436411	1312	1182
1402.744140625	n/a	1436411	1311	1054
1406.2353515625	n/a	1439986	2110	0
1406.8271484375	n/a	1440592	1312	1054
1406.8271484375	n/a	1440592	1311	1174
1410.37890625	n/a	1444229	2110	0
1410.94921875	n/a	1444813	1312	1174
1410.94921875	n/a	1444813	1311	1037
1415.4189453125	n/a	1449390	2110	0
1415.9912109375	n/a	1449976	1312	1037
1415.9912109375	n/a	1449976	1311	1060
1420.5146484375	n/a	1454608	2110	0
1421.0947265625	n/a	1455202	1312	1060
1421.0947265625	n/a	1455202	1311	1069
1426.1728515625	n/a	1460402	2110	0
1426.7783203125	n/a	1461022	1312	1069
1426.7783203125	n/a	1461022	1311	1167
1433.6826171875	n/a	1468092	2110	0
1434.29296875	n/a	1468717	1312	1167
1434.29296875	n/a	1468717	1311	1216
1438.498046875	n/a	1473023	2110	0
1439.0810546875	n/a	1473620	1312	1216
1439.0810546875	n/a	1473620	1311	1058
1442.9462890625	n/a	1477578	2110	0
1443.54296875	n/a	1478189	1312	1058
1443.54296875	n/a	1478189	1311	1120
1448.3134765625	n/a	1483074	2120	0
1450.4345703125	n/a	1485246	1312	1120
1450.4345703125	n/a	1485246	1311	1049
1455.9052734375	n/a	1490848	2110	0
1456.50390625	n/a	1491461	1312	1049
1456.50390625	n/a	1491461	1311	1229
1460.43359375	n/a	1495485	2110	0
1461.001953125	n/a	1496067	1312	1229
1461.001953125	n/a	1496067	1311	1026
1464.6171875	n/a	1499769	2110	0
1465.205078125	n/a	1500371	1312	1026
1465.205078125	n/a	1500371	1311	1116
1469.640625	n/a	1504913	2110	0
1470.244140625	n/a	1505531	1312	1116
1470.244140625	n/a	1505531	1311	1136
1473.5771484375	n/a	1508944	2110	0
1474.18359375	n/a	1509565	1312	1136
1474.18359375	n/a	1509565	1311	1085
1477.8408203125	n/a	1513310	2110	0
1478.43359375	n/a	1513917	1312	1085
1478.43359375	n/a	1513917	1311	1210
1483.8408203125	n/a	1519454	2110	0
1484.4130859375	n/a	1520040	1312	1210
1484.4130859375	n/a	1520040	1331	4036
1487.984375	n/a	1523697	2120	0
1490.1845703125	n/a	1525950	1332	4036
1490.1845703125	n/a	1525950	1311	1161
1500.904296875	n/a	1536927	2120	0
1503.3837890625	n/a	1539466	1312	1161
1503.3837890625	n/a	1539466	1311	1107
1507.5517578125	n/a	1543734	2110	0
1508.1484375	n/a	1544345	1312	1107
1508.1484375	n/a	1544345	1351	4055
1514.0234375	n/a	1550361	2120	0
1517.2392578125	n/a	1553654	1352	4055
1517.2392578125	n/a	1553654	1311	1052
1526.6953125	n/a	1563337	2110	0
1527.29296875	n/a	1563949	1312	1052
1527.29296875	n/a	1563949	1311	1082
1533.7744140625	n/a	1570586	2110	0
1534.3916015625	n/a	1571218	1312	1082
1534.3916015625	n/a	1571218	1311	1129
1538.2861328125	n/a	1575206	2110	0
1538.90234375	n/a	1575837	1312	1129
1538.90234375	n/a	1575837	1311	1103
1542.064453125	n/a	1579075	2110	0
1542.650390625	n/a	1579675	1312	1103
1542.650390625	n/a	1579675	1311	1108
1547.2861328125	n/a	1584422	2110	0
1547.861328125	n/a	1585011	1312	1108
1547.861328125	n/a	1585011	1311	1017
1553.3095703125	n/a	1590590	2110	0
1553.9013671875	n/a	1591196	1312	1017
1553.9013671875	n/a	1591196	1311	1218
1557.984375	n/a	1595377	2110	0
1558.5712890625	n/a	1595978	1312	1218
1558.5712890625	n/a	1595978	1321	4004
1561.365234375	n/a	1598839	2120	0
1563.451171875	n/a	1600975	1322	4004
1563.451171875	n/a	1600975	1252	0
1573.451171875	n/a	1611215	3111	0
1656.24609375	n/a	1695997	3112	0
1666.24609375	n/a	1706237	1241	0
1666.24609375	n/a	1706237	1311	1022
1681.544921875	n/a	1721903	2110	0
1682.1279296875	n/a	1722500	1312	1022
1682.1279296875	n/a	1722500	1341	4039
1688.892578125	n/a	1729427	2120	0
1693.37109375	n/a	1734013	1342	4039
1693.37109375	n/a	1734013	1311	1209
1699.482421875	n/a	1740271	2110	0
1700.06640625	n/a	1740869	1312	1209
1700.06640625	n/a	1740869	1311	1156
1706.84765625	n/a	1747813	2110	0
1707.4482421875	n/a	1748428	1312	1156
1707.4482421875	n/a	1748428	1311	1179
1713.3994140625	n/a	1754522	2110	0
1713.9658203125	n/a	1755102	1312	1179
1713.9658203125	n/a	1755102	1321	4010
1715.3759765625	n/a	1756546	2120	0
1717.185546875	n/a	1758399	1322	4010
1717.185546875	n/a	1758399	1311	1133
1721.703125	n/a	1763025	2110	0
1722.3046875	n/a	1763641	1312	1133
1722.3046875	n/a	1763641	1311	1109
1727.6875	n/a	1769153	2110	0
1728.2890625	n/a	1769769	1312	1109
1728.2890625	n/a	1769769	1311	1176
1732.7431640625	n/a	1774330	2110	0
1733.3349609375	n/a	1774936	1312	1176
1733.3349609375	n/a	1774936	1311	1173
1739.6630859375	n/a	1781416	2110	0
1740.2666015625	n/a	1782034	1312	1173
1740.2666015625	n/a	1782034	1311	1128
1744.55859375	n/a	1786429	2110	0
1750.1630859375	n/a	1792168	1312	1128
1750.1630859375	n/a	1792168	1311	1024
1755.1259765625	n/a	1797250	2110	0
1773.3388671875	n/a	1815900	1312	1024
1773.3388671875	n/a	1815900	1311	1057
1777.6376953125	n/a	1820302	2110	0
1783.3046875	n/a	1826105	1312	1057
1783.3046875	n/a	1826105	1311	1089
1787.5732421875	n/a	1830476	2110	0
1795.208984375	n/a	1838295	1312	1089
1795.208984375	n/a	1838295	1311	1198
1799.6123046875	n/a	1842804	2110	0
